,Company,ID,Facility,CountryName,Sector,TotQ,FosQ,BioQ,BioPerc,Lat,Long
13,BillerudKorsnäs Sweden AB Gruvöns Bruk,7189,Gruvöns bruk,Sweden,Manufacture of paper and paperboard,1.32,0.0188,1.3012,99.0,59.33826572,13.12154172
14,BillerudKorsnäs Skog & Industri Aktiebolag,7756,Korsnäsverken,Sweden,Manufacture of paper and paperboard,1.24,0.00244,1.23756,100.0,60.68240441,17.27333698
15,SCA Graphic Sundsvall AB,7891,SCA Östrands massafabrik,Sweden,Manufacture of pulp,1.19,0.0176,1.1724,99.0,62.47530374,17.32897413
16,Smurfit Kappa Kraftliner Piteå AB,8235,Smurfit Kappa Kraftliner Piteå,Sweden,Manufacture of paper and paperboard,1.15,0.0104,1.1396,99.0,65.31475314,21.44038572
17,Södra Cell AB,6649,Södra Cell Värö,Sweden,Manufacture of pulp,1.14,0.0047,1.1353,100.0,57.22166666,12.17192747
18,Södra Cell AB,6001,Södra Cell Mörrum,Sweden,Manufacture of pulp,1.12,0.0283,1.0917,97.0,56.16098092,14.76467857
19,"Metsä Fibre Oy, Äänekosken sellutehdas",7866,"Metsä Fibre Oy, Äänekosken sellutehdas",Finland,Manufacture of pulp,1.07,0.0668,1.0032,94.0,62.59765,25.73963
20,Mondi ttí a.s.,9281,celulozka,Czech Republic,Manufacture of paper and paperboard,0.99,0.057,0.933,94.0,50.4611853611,14.3748144889
21,BillerudKorsnäs Sweden AB,1240,BillerudKorsnäs Sweden AB Skärblacka Bruk,Sweden,Manufacture of paper and paperboard,0.978,0.0117,0.9663,99.0,58.57980097,15.89974012
22,Stora Enso Skoghall AB,7184,Skoghalls Bruk,Sweden,Manufacture of paper and paperboard,0.959,0.0535,0.9055,94.0,59.31835168,13.43760246
23,"Stora Enso Oyj, Sunilan tehdas",6709,"Stora Enso Oyj, Sunilan tehdas",Finland,Manufacture of pulp,0.893,0.0427,0.8503,95.0,60.48876,26.950409999999998
24,Stora Enso Oyj Veitsiluodon tehdas,6594,Stora Enso Oyj Veitsiluodon tehdas,Finland,Manufacture of paper and paperboard,0.851,0.0458,0.8052,95.0,65.69355999999999,24.62075
25,Iggesund Paperboard AB,7771,Iggesunds Bruk,Sweden,Manufacture of paper and paperboard,0.851,0.0181,0.8329,98.0,61.63863899,17.09808643
26,BillerudKorsnäs Sweden AB Karlsborg Bruk,8155,BillerudKorsnäs Karlsborgs AB,Sweden,Manufacture of paper and paperboard,0.819,0.00809,0.81091,99.0,65.79194132,23.28768535
27,BillerudKorsnäs Skog & Industri AB,7326,"BillerudKorsnäs Skog & Industri AB, Frövi",Sweden,Manufacture of paper and paperboard,0.754,0.00794,0.74606,99.0,59.47975587,15.32873919
28,SCA Munksund AB,8236,SCA Munksund,Sweden,Manufacture of paper and paperboard,0.683,0.0227,0.6603,97.0,65.27232862,21.50387968
