REGISTRY_CODE,IDENTIFIER_IN_REG,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,Comment,PRTR_ID,tot,bio,est_bio,Verified,ALLOCATED_2015,ALLOCATED_RESERVE_2015,ALLOCATED_TRANSITIONAL_2015,,ACCOUNT_CLOSURE
PT,148-Nergal - Nova Cerâmica Algarvia Lda.,Nergal Lda,130,151,32,,,,,,-1,0,0,0,,OPEN
RO,Operator Account,SC ECO PIF INVEST SRL,130,RO-03-26-2007,7,,,,,,-1,-1,-1,-1,,OPEN
GB,DE Solutia Operator Account,Solutia Generating Plant,130,UK-W-IN-11447,20,,,,,,-1,-1,-1,-1,,OPEN
DK,Aabenraa fjernv,Aabenraa Fjernvarme,131,TCO2-578,20,,,,,,-1,0,0,0,,OPEN
PL,CIEP?OWNIA,CIEP?OWNIA OLSZTYN,131,PL-0170-05,20,,,,,,-1,62382,0,0,,OPEN
ES,Inducerama S.L.,Inducerama S.L.,131,ES012908000142,32,,,,,,-1,-1,-1,-1,,OPEN
BG,Gard invest Ltd,Oranjeriyen kompleks,131,BG-P142,20,,,,,,-1,1973,0,0,,OPEN
RO,Operator Account,SC GHCL UPSOM ROMANIA SA,131,RO-07-08-2006,1,,,,,,-1,-1,-1,-1,,OPEN
GB,DE Sevington Operator Account,Sevington Generating Plant,131,UK-E-IN-11448,20,,,,,,-1,-1,-1,-1,,OPEN
GR,MOYGIOS,??????? ??. ??????? ??? - ? ?????,132,9-36,32,,,,,,-1,0,0,0,,OPEN
DK,Aabenraa fv,Aabenraa Fjernvarme,132,TCO2-580,20,,,,,,-1,0,0,0,,OPEN
PL,CIEP?OWNIA,Ciep?ownia,132,PL-0171-05,20,,,,,,-1,0,0,0,,OPEN
BE,132 SVK,SVK,132,VL720,32,,,,,,-1,0,0,0,,OPEN
FR,PROVINCES ENERGIE - CHERBOURG,Chauff. Urbaine des Provinces Cherbourg-Octeville,133,5302859,1,,,,,,-1,0,0,0,,OPEN
ES,Ladri Bailén S.L.,Ladri Bailén S.L.,133,ES012308000144,32,,,,,,-1,0,0,0,,OPEN
GB,Tilbury PS Operator Account,Tilbury Power Station,133,UK-E-IN-11451,20,,,,,,-1,-1,-1,-1,,OPEN
GB,DE Aberdare Operator Account,Aberdare Generating Plant,134,UK-W-IN-11452,20,,,,,,-1,-1,-1,-1,,OPEN
BE,134 Ampe,Ampe,134,VL716,32,,,,,,-1,0,0,0,,OPEN
SK,TATRAVAGÓNKA a.s.,Tatravagónka a.s. Poprad,134,706-002-2012,20,,,,,,-1,0,0,0,,OPEN
GB,DE Bridgwater Operator Account,Bridgwater Generating Plant,135,UK-E-IN-11453,20,,,,,,-1,-1,-1,-1,,OPEN
